Physician_ID,Specialty,Historical_Prescriptions,Digital_Ads_Impressions,Sales_Rep_Visits,Samples_Dropped,Region,Cluster,Segment
PHY-00052,GP,82,1997,0,13,South,2,Digital-First Responders
PHY-00053,GP,79,1413,3,15,Midwest,2,Digital-First Responders
PHY-00054,GP,112,1516,7,22,West,1,Low Engagement Profiles
PHY-00055,Cardiology,69,341,4,8,South,2,Digital-First Responders
PHY-00056,GP,62,708,7,16,South,1,Low Engagement Profiles
PHY-00057,Oncology,121,3060,7,17,Midwest,0,High-Touch Advocates
PHY-00058,Oncology,123,1032,10,12,South,1,Low Engagement Profiles
PHY-00059,Oncology,96,3019,3,9,Midwest,2,Digital-First Responders
PHY-00060,Cardiology,92,1485,4,13,South,2,Digital-First Responders
PHY-00061,Cardiology,79,1541,4,10,Northeast,2,Digital-First Responders
PHY-00062,Cardiology,85,1038,6,11,Midwest,2,Digital-First Responders
PHY-00063,GP,95,2206,9,13,South,1,Low Engagement Profiles
PHY-00064,Cardiology,130,2585,7,16,West,0,High-Touch Advocates
PHY-00065,Cardiology,85,675,5,17,South,2,Digital-First Responders
PHY-00066,Cardiology,112,376,6,14,West,2,Digital-First Responders
PHY-00067,Oncology,102,193,5,14,West,2,Digital-First Responders
PHY-00068,GP,66,1929,6,12,Northeast,2,Digital-First Responders
PHY-00069,Oncology,134,1776,6,17,Midwest,1,Low Engagement Profiles
PHY-00070,GP,118,5921,9,8,South,0,High-Touch Advocates
PHY-00071,GP,77,1419,4,15,Northeast,2,Digital-First Responders
PHY-00072,Oncology,126,1233,7,12,South,1,Low Engagement Profiles
PHY-00073,Oncology,97,1629,5,16,West,2,Digital-First Responders
PHY-00074,GP,90,1693,5,14,Midwest,2,Digital-First Responders
PHY-00075,GP,74,1160,7,13,South,1,Low Engagement Profiles
PHY-00076,GP,88,695,6,18,South,1,Low Engagement Profiles
PHY-00077,GP,77,1362,8,11,West,1,Low Engagement Profiles
PHY-00078,Oncology,117,1323,5,17,South,2,Digital-First Responders
PHY-00079,Cardiology,91,1307,6,13,South,2,Digital-First Responders
PHY-00080,Oncology,137,2368,6,17,West,0,High-Touch Advocates
PHY-00081,GP,112,1344,10,22,Northeast,1,Low Engagement Profiles
PHY-00082,GP,77,385,5,18,West,2,Digital-First Responders
PHY-00083,Cardiology,119,797,4,20,Northeast,2,Digital-First Responders
PHY-00084,Oncology,105,1149,3,17,Midwest,2,Digital-First Responders
PHY-00085,Cardiology,120,1392,6,20,Northeast,1,Low Engagement Profiles
PHY-00086,Cardiology,98,1958,3,15,Northeast,2,Digital-First Responders
PHY-00087,GP,94,1401,4,13,Midwest,2,Digital-First Responders
PHY-00088,GP,72,156,4,11,Northeast,2,Digital-First Responders
PHY-00089,GP,80,433,5,16,West,2,Digital-First Responders
PHY-00090,Cardiology,96,2053,7,11,Northeast,2,Digital-First Responders
PHY-00091,Oncology,121,1124,3,23,Midwest,2,Digital-First Responders
PHY-00092,GP,82,1492,5,17,West,2,Digital-First Responders
PHY-00093,GP,83,1014,5,14,Midwest,2,Digital-First Responders
PHY-00094,Cardiology,90,794,4,18,Midwest,2,Digital-First Responders
PHY-00095,GP,76,1044,7,16,South,1,Low Engagement Profiles
PHY-00096,Cardiology,89,1506,9,16,South,1,Low Engagement Profiles
PHY-00097,Cardiology,98,1336,8,13,Midwest,1,Low Engagement Profiles
PHY-00098,Cardiology,119,2574,7,11,Midwest,0,High-Touch Advocates
PHY-00099,Oncology,103,312,8,17,Midwest,1,Low Engagement Profiles
PHY-00100,Oncology,82,361,7,16,South,1,Low Engagement Profiles
PHY-00101,Oncology,128,1114,5,15,South,2,Digital-First Responders
PHY-00102,GP,108,1974,10,17,Northeast,1,Low Engagement Profiles
PHY-00103,Cardiology,133,2281,5,16,Northeast,2,Digital-First Responders
PHY-00104,Cardiology,111,822,4,10,Midwest,2,Digital-First Responders
PHY-00105,GP,80,48,5,13,West,2,Digital-First Responders
PHY-00106,Oncology,119,845,4,23,West,2,Digital-First Responders
PHY-00107,Cardiology,118,1780,10,20,South,1,Low Engagement Profiles
PHY-00108,GP,98,1317,5,13,South,2,Digital-First Responders
PHY-00109,Oncology,110,2025,3,12,South,2,Digital-First Responders
PHY-00110,Oncology,129,2990,5,22,Midwest,0,High-Touch Advocates
PHY-00111,Cardiology,79,1176,5,22,West,1,Low Engagement Profiles
PHY-00112,Oncology,117,925,10,15,Northeast,1,Low Engagement Profiles
PHY-00113,GP,75,612,4,16,Midwest,2,Digital-First Responders
PHY-00114,GP,103,359,8,15,Northeast,1,Low Engagement Profiles
PHY-00115,GP,113,264,10,23,Northeast,1,Low Engagement Profiles
PHY-00116,GP,95,754,8,18,Midwest,1,Low Engagement Profiles
PHY-00117,GP,148,2721,9,18,Northeast,1,Low Engagement Profiles
PHY-00118,Oncology,119,2163,5,18,West,2,Digital-First Responders
PHY-00119,GP,93,890,8,14,Northeast,1,Low Engagement Profiles
PHY-00120,Cardiology,119,5032,8,11,West,0,High-Touch Advocates
PHY-00121,GP,108,800,11,10,West,1,Low Engagement Profiles
PHY-00122,GP,97,3180,6,13,West,0,High-Touch Advocates
PHY-00123,Cardiology,153,3683,7,23,South,0,High-Touch Advocates
PHY-00124,Oncology,114,1867,10,9,Northeast,1,Low Engagement Profiles
PHY-00125,Oncology,93,748,6,19,Midwest,1,Low Engagement Profiles
PHY-00126,Cardiology,92,990,8,9,Midwest,1,Low Engagement Profiles
PHY-00127,GP,98,1533,1,13,Northeast,2,Digital-First Responders
PHY-00128,GP,101,369,8,15,South,1,Low Engagement Profiles
PHY-00129,Oncology,104,560,4,21,South,2,Digital-First Responders
PHY-00130,Cardiology,84,518,8,6,West,2,Digital-First Responders
PHY-00131,Cardiology,123,1967,9,15,Northeast,1,Low Engagement Profiles
PHY-00132,Oncology,114,2971,3,12,Northeast,2,Digital-First Responders
PHY-00133,Oncology,112,2222,0,13,Midwest,2,Digital-First Responders
PHY-00134,Cardiology,102,2649,5,16,Northeast,0,High-Touch Advocates
PHY-00135,GP,79,694,6,14,South,2,Digital-First Responders
PHY-00136,Cardiology,91,1027,3,16,Northeast,2,Digital-First Responders
PHY-00137,Cardiology,100,1090,3,19,Midwest,2,Digital-First Responders
PHY-00138,GP,85,1861,4,13,West,2,Digital-First Responders
PHY-00139,Cardiology,94,773,5,13,Midwest,2,Digital-First Responders
PHY-00140,GP,135,2539,9,19,Midwest,1,Low Engagement Profiles
PHY-00141,GP,72,3616,2,20,West,0,High-Touch Advocates
PHY-00142,Cardiology,115,1929,5,13,Midwest,2,Digital-First Responders
PHY-00143,Cardiology,78,990,3,15,Midwest,2,Digital-First Responders
PHY-00144,Cardiology,85,640,7,17,Northeast,1,Low Engagement Profiles
PHY-00145,Cardiology,59,519,3,11,Northeast,2,Digital-First Responders
PHY-00146,Oncology,72,159,5,14,West,2,Digital-First Responders
PHY-00147,GP,91,1117,4,15,Northeast,2,Digital-First Responders
PHY-00148,Cardiology,85,1067,6,14,Northeast,2,Digital-First Responders
PHY-00149,Oncology,119,2434,8,11,Midwest,0,High-Touch Advocates
PHY-00150,Cardiology,100,817,5,17,South,2,Digital-First Responders
PHY-00151,GP,88,1168,7,14,Northeast,1,Low Engagement Profiles
PHY-00152,Oncology,110,1646,4,12,South,2,Digital-First Responders
PHY-00153,Oncology,142,1907,5,17,Northeast,2,Digital-First Responders
PHY-00154,Cardiology,104,2245,6,10,Northeast,2,Digital-First Responders
PHY-00155,GP,141,1529,8,21,West,1,Low Engagement Profiles
PHY-00156,Oncology,106,392,5,23,West,1,Low Engagement Profiles
PHY-00157,GP,119,1790,5,18,West,2,Digital-First Responders
PHY-00158,GP,102,767,7,17,South,1,Low Engagement Profiles
PHY-00159,Oncology,123,3064,5,13,Midwest,0,High-Touch Advocates
PHY-00160,GP,68,1355,4,20,Northeast,2,Digital-First Responders
PHY-00161,Cardiology,74,1597,4,16,Northeast,2,Digital-First Responders
PHY-00162,GP,117,6229,3,14,Northeast,0,High-Touch Advocates
PHY-00163,GP,97,2272,6,13,South,2,Digital-First Responders
PHY-00164,Cardiology,102,1767,8,11,West,1,Low Engagement Profiles
PHY-00165,Oncology,124,1195,7,17,Midwest,1,Low Engagement Profiles
PHY-00166,GP,76,426,8,13,South,1,Low Engagement Profiles
PHY-00167,Cardiology,115,1128,10,18,West,1,Low Engagement Profiles
PHY-00168,Oncology,125,633,7,15,South,1,Low Engagement Profiles
PHY-00169,Oncology,127,3908,8,11,Midwest,0,High-Touch Advocates
PHY-00170,Cardiology,101,1783,10,16,West,1,Low Engagement Profiles
PHY-00171,GP,96,2990,4,16,South,0,High-Touch Advocates
PHY-00172,Oncology,90,797,0,17,Midwest,2,Digital-First Responders
PHY-00173,Cardiology,83,675,6,17,Northeast,1,Low Engagement Profiles
PHY-00174,Oncology,124,2121,8,10,Midwest,1,Low Engagement Profiles
PHY-00175,GP,73,610,8,16,Northeast,1,Low Engagement Profiles
PHY-00176,Oncology,119,930,6,12,South,2,Digital-First Responders
PHY-00177,GP,122,4030,5,13,West,0,High-Touch Advocates
PHY-00178,Cardiology,118,961,10,23,West,1,Low Engagement Profiles
PHY-00179,GP,48,339,6,14,South,2,Digital-First Responders
PHY-00180,Oncology,123,216,11,21,West,1,Low Engagement Profiles
PHY-00181,Cardiology,103,296,6,12,West,2,Digital-First Responders
PHY-00182,Oncology,155,3108,9,14,Northeast,0,High-Touch Advocates
PHY-00183,GP,115,840,5,17,South,2,Digital-First Responders
PHY-00184,GP,144,6104,7,12,Midwest,0,High-Touch Advocates
PHY-00185,Cardiology,129,3644,3,17,Northeast,0,High-Touch Advocates
PHY-00186,GP,108,4663,5,14,South,0,High-Touch Advocates
PHY-00187,GP,87,2695,3,14,Northeast,2,Digital-First Responders
PHY-00188,Cardiology,132,2043,3,21,Midwest,2,Digital-First Responders
PHY-00189,Cardiology,99,654,4,14,Midwest,2,Digital-First Responders
PHY-00190,Oncology,128,1329,5,23,South,1,Low Engagement Profiles
PHY-00191,Oncology,123,2189,9,14,Midwest,1,Low Engagement Profiles
PHY-00192,GP,80,2583,5,16,Northeast,0,High-Touch Advocates
PHY-00193,GP,85,467,9,16,Midwest,1,Low Engagement Profiles
PHY-00194,GP,68,1143,4,15,Northeast,2,Digital-First Responders
PHY-00195,Cardiology,124,1249,11,20,Northeast,1,Low Engagement Profiles
PHY-00196,Cardiology,78,1211,6,12,Midwest,2,Digital-First Responders
PHY-00197,GP,71,530,4,20,South,2,Digital-First Responders
PHY-00198,GP,134,4311,5,14,West,0,High-Touch Advocates
PHY-00199,GP,74,1112,4,18,Midwest,2,Digital-First Responders
PHY-00200,GP,50,567,4,13,Northeast,2,Digital-First Responders
PHY-00201,GP,154,4380,11,20,Northeast,0,High-Touch Advocates
PHY-00202,Oncology,135,3646,7,21,Midwest,0,High-Touch Advocates
PHY-00203,Oncology,136,1484,9,24,South,1,Low Engagement Profiles
PHY-00204,GP,95,907,7,13,South,1,Low Engagement Profiles
PHY-00205,GP,58,271,4,12,Northeast,2,Digital-First Responders
PHY-00206,Oncology,92,1937,4,13,Northeast,2,Digital-First Responders
PHY-00207,Oncology,107,855,8,14,South,1,Low Engagement Profiles
PHY-00208,GP,111,1305,3,21,West,2,Digital-First Responders
PHY-00209,Oncology,179,4129,11,12,Midwest,0,High-Touch Advocates
PHY-00210,Oncology,94,803,5,9,Northeast,2,Digital-First Responders
PHY-00211,Cardiology,117,1878,6,9,Northeast,2,Digital-First Responders
PHY-00212,GP,97,2291,7,13,South,0,High-Touch Advocates
PHY-00213,GP,104,3044,5,16,Midwest,0,High-Touch Advocates
PHY-00214,Oncology,117,1232,9,18,South,1,Low Engagement Profiles
PHY-00215,GP,77,1133,4,13,Midwest,2,Digital-First Responders
PHY-00216,Oncology,91,1112,2,17,Midwest,2,Digital-First Responders
PHY-00217,Cardiology,97,1749,5,13,Midwest,2,Digital-First Responders
PHY-00218,GP,131,3545,12,18,Northeast,0,High-Touch Advocates
PHY-00219,GP,83,1072,6,10,West,2,Digital-First Responders
PHY-00220,GP,57,69,4,11,South,2,Digital-First Responders
PHY-00221,GP,96,2470,5,11,West,2,Digital-First Responders
PHY-00222,Cardiology,101,1403,6,9,South,2,Digital-First Responders
PHY-00223,Oncology,113,1940,6,10,Midwest,2,Digital-First Responders
PHY-00224,Cardiology,89,283,8,8,Northeast,1,Low Engagement Profiles
PHY-00225,Cardiology,114,858,8,15,West,1,Low Engagement Profiles
PHY-00226,Oncology,157,2333,7,18,Northeast,1,Low Engagement Profiles
PHY-00227,GP,66,412,8,14,South,1,Low Engagement Profiles
PHY-00228,Cardiology,91,1875,1,23,Northeast,2,Digital-First Responders
PHY-00229,GP,100,1296,10,16,Northeast,1,Low Engagement Profiles
PHY-00230,GP,76,709,5,13,West,2,Digital-First Responders
PHY-00231,GP,95,659,10,18,Midwest,1,Low Engagement Profiles
PHY-00232,Cardiology,93,535,2,16,Northeast,2,Digital-First Responders
PHY-00233,Cardiology,81,1398,5,11,Midwest,2,Digital-First Responders
PHY-00234,Cardiology,117,1523,9,14,South,1,Low Engagement Profiles
PHY-00235,Oncology,105,989,3,11,Northeast,2,Digital-First Responders
PHY-00236,GP,107,504,5,20,West,1,Low Engagement Profiles
PHY-00237,Cardiology,98,1836,3,10,South,2,Digital-First Responders
PHY-00238,Oncology,127,2501,5,20,South,0,High-Touch Advocates
PHY-00239,GP,102,2080,5,16,West,2,Digital-First Responders
PHY-00240,Oncology,134,4787,6,10,Northeast,0,High-Touch Advocates
PHY-00241,GP,83,1153,8,16,Northeast,1,Low Engagement Profiles
PHY-00242,GP,86,3317,3,14,South,0,High-Touch Advocates
PHY-00243,GP,92,771,9,13,Northeast,1,Low Engagement Profiles
PHY-00244,Cardiology,127,666,8,18,Midwest,1,Low Engagement Profiles
PHY-00245,Oncology,113,1464,6,12,West,2,Digital-First Responders
PHY-00246,GP,105,3813,5,14,Midwest,0,High-Touch Advocates
PHY-00247,Cardiology,96,1054,7,14,Northeast,1,Low Engagement Profiles
PHY-00248,GP,90,282,8,15,South,1,Low Engagement Profiles
PHY-00249,GP,97,2469,5,11,West,2,Digital-First Responders
PHY-00250,GP,75,1254,4,18,Northeast,2,Digital-First Responders
PHY-00251,Cardiology,151,1666,8,17,Northeast,1,Low Engagement Profiles
PHY-00252,Cardiology,83,697,2,15,South,2,Digital-First Responders
PHY-00253,GP,64,1453,7,14,South,1,Low Engagement Profiles
PHY-00254,Cardiology,101,331,8,11,Midwest,1,Low Engagement Profiles
PHY-00255,Oncology,164,4354,9,16,West,0,High-Touch Advocates
PHY-00256,Cardiology,109,2788,7,12,West,0,High-Touch Advocates
PHY-00257,GP,82,1404,6,17,South,1,Low Engagement Profiles
PHY-00258,GP,124,2422,5,15,Midwest,0,High-Touch Advocates
PHY-00259,Cardiology,74,773,6,14,West,2,Digital-First Responders
PHY-00260,Oncology,131,2705,6,14,South,0,High-Touch Advocates
PHY-00261,GP,109,1016,8,16,Northeast,1,Low Engagement Profiles
PHY-00262,GP,113,958,5,16,West,2,Digital-First Responders
PHY-00263,Oncology,88,570,6,14,Midwest,2,Digital-First Responders
PHY-00264,Cardiology,121,1820,2,14,Midwest,2,Digital-First Responders
PHY-00265,GP,84,1358,3,9,Midwest,2,Digital-First Responders
PHY-00266,GP,125,3388,6,13,Northeast,0,High-Touch Advocates
PHY-00267,GP,98,509,7,13,West,1,Low Engagement Profiles
PHY-00268,GP,98,1826,6,15,West,2,Digital-First Responders
PHY-00269,Cardiology,132,2974,9,15,Northeast,0,High-Touch Advocates
PHY-00270,Cardiology,99,1544,5,13,West,2,Digital-First Responders
PHY-00271,GP,110,1000,6,17,Northeast,1,Low Engagement Profiles
PHY-00272,GP,110,1514,6,15,Northeast,2,Digital-First Responders
PHY-00273,GP,121,3209,8,15,Northeast,0,High-Touch Advocates
PHY-00274,GP,104,3208,6,15,Midwest,0,High-Touch Advocates
PHY-00275,Cardiology,128,1215,8,19,West,1,Low Engagement Profiles
PHY-00276,Cardiology,94,3171,3,15,Northeast,0,High-Touch Advocates
PHY-00277,GP,66,1309,5,14,West,2,Digital-First Responders
PHY-00278,GP,93,2403,6,14,Midwest,0,High-Touch Advocates
PHY-00279,GP,84,1981,5,20,Northeast,1,Low Engagement Profiles
PHY-00280,GP,115,968,12,16,South,1,Low Engagement Profiles
PHY-00281,GP,124,589,10,9,Midwest,1,Low Engagement Profiles
PHY-00282,Cardiology,123,3026,6,13,South,0,High-Touch Advocates
PHY-00283,Cardiology,130,3602,4,20,West,0,High-Touch Advocates
PHY-00284,Oncology,112,1795,7,8,West,2,Digital-First Responders
PHY-00285,Cardiology,103,1308,5,13,Midwest,2,Digital-First Responders
PHY-00286,Oncology,126,448,9,17,West,1,Low Engagement Profiles
PHY-00287,Cardiology,120,2974,5,20,South,0,High-Touch Advocates
PHY-00288,Cardiology,103,1647,8,14,Northeast,1,Low Engagement Profiles
PHY-00289,Cardiology,99,1083,4,11,Northeast,2,Digital-First Responders
PHY-00290,Cardiology,127,2450,7,18,Northeast,0,High-Touch Advocates
PHY-00291,Oncology,143,370,11,19,Midwest,1,Low Engagement Profiles
PHY-00292,Oncology,88,544,3,14,West,2,Digital-First Responders
PHY-00293,GP,87,748,6,16,South,1,Low Engagement Profiles
PHY-00294,Cardiology,123,1937,6,14,West,2,Digital-First Responders
PHY-00295,Oncology,107,1527,4,14,West,2,Digital-First Responders
PHY-00296,Cardiology,118,2102,7,12,West,1,Low Engagement Profiles
PHY-00297,GP,120,2839,8,19,Northeast,0,High-Touch Advocates
PHY-00298,Oncology,135,2155,9,15,South,1,Low Engagement Profiles
PHY-00299,GP,107,4415,7,14,South,0,High-Touch Advocates
PHY-00300,Oncology,135,2834,6,20,West,0,High-Touch Advocates
PHY-00301,Oncology,115,1212,7,13,Northeast,1,Low Engagement Profiles
PHY-00302,Cardiology,101,853,6,10,Northeast,2,Digital-First Responders
PHY-00303,Cardiology,100,1241,5,13,South,2,Digital-First Responders
PHY-00304,GP,84,2208,6,16,Northeast,0,High-Touch Advocates
PHY-00305,GP,73,932,7,14,Northeast,1,Low Engagement Profiles
PHY-00306,GP,105,2251,4,16,Northeast,2,Digital-First Responders
PHY-00307,Cardiology,122,2075,1,10,Midwest,2,Digital-First Responders
PHY-00308,Cardiology,63,581,6,8,West,2,Digital-First Responders
PHY-00309,GP,118,2798,10,18,South,1,Low Engagement Profiles
PHY-00310,Cardiology,121,1749,8,19,South,1,Low Engagement Profiles
PHY-00311,Cardiology,122,4275,4,10,Midwest,0,High-Touch Advocates
PHY-00312,Oncology,94,1313,3,15,West,2,Digital-First Responders
PHY-00313,Oncology,117,1044,1,17,South,2,Digital-First Responders
PHY-00314,GP,67,514,5,10,Northeast,2,Digital-First Responders
PHY-00315,GP,83,506,6,15,South,2,Digital-First Responders
PHY-00316,GP,93,2575,5,14,Northeast,0,High-Touch Advocates
PHY-00317,Cardiology,146,3995,8,23,Midwest,0,High-Touch Advocates
PHY-00318,Oncology,121,1228,5,24,Northeast,1,Low Engagement Profiles
PHY-00319,Oncology,103,1166,5,17,South,2,Digital-First Responders
PHY-00320,Cardiology,95,1406,5,16,South,2,Digital-First Responders
PHY-00321,Cardiology,153,2929,6,19,South,0,High-Touch Advocates
PHY-00322,GP,98,586,6,20,Midwest,1,Low Engagement Profiles
PHY-00323,GP,78,1594,9,12,Midwest,1,Low Engagement Profiles
PHY-00324,Cardiology,115,2615,8,14,West,0,High-Touch Advocates
PHY-00325,GP,105,1920,6,12,South,2,Digital-First Responders
PHY-00326,GP,59,36,3,15,Northeast,2,Digital-First Responders
PHY-00327,Cardiology,134,2163,7,18,Midwest,1,Low Engagement Profiles
PHY-00328,GP,94,1934,5,14,South,2,Digital-First Responders
PHY-00329,Cardiology,109,3314,6,12,South,0,High-Touch Advocates
PHY-00330,Oncology,146,3787,7,10,Midwest,0,High-Touch Advocates
PHY-00331,Cardiology,99,3204,3,19,West,0,High-Touch Advocates
PHY-00332,GP,119,1412,11,12,Midwest,1,Low Engagement Profiles
PHY-00333,Oncology,108,268,1,18,Midwest,2,Digital-First Responders
PHY-00334,Oncology,106,1159,7,17,Northeast,1,Low Engagement Profiles
PHY-00335,Oncology,114,1378,3,17,Northeast,2,Digital-First Responders
PHY-00336,Oncology,131,3961,7,21,West,0,High-Touch Advocates
PHY-00337,GP,97,704,9,19,South,1,Low Engagement Profiles
PHY-00338,GP,73,381,2,10,Midwest,2,Digital-First Responders
PHY-00339,Cardiology,96,937,6,17,West,1,Low Engagement Profiles
PHY-00340,Oncology,103,738,5,19,Northeast,2,Digital-First Responders
PHY-00341,Cardiology,93,344,3,19,Midwest,2,Digital-First Responders
PHY-00342,Cardiology,110,1249,6,11,South,2,Digital-First Responders
PHY-00343,Oncology,125,1420,4,14,Northeast,2,Digital-First Responders
PHY-00344,Cardiology,76,323,6,12,Northeast,2,Digital-First Responders
PHY-00345,Cardiology,113,1038,7,26,Northeast,1,Low Engagement Profiles
PHY-00346,GP,75,697,7,19,West,1,Low Engagement Profiles
PHY-00347,GP,76,1455,3,10,South,2,Digital-First Responders
PHY-00348,Oncology,92,1565,6,12,Midwest,2,Digital-First Responders
PHY-00349,Cardiology,92,697,5,6,West,2,Digital-First Responders
PHY-00350,GP,94,2781,8,8,West,0,High-Touch Advocates
PHY-00351,Cardiology,122,1355,11,15,West,1,Low Engagement Profiles
PHY-00352,GP,68,727,5,14,Northeast,2,Digital-First Responders
PHY-00353,GP,77,301,2,21,South,2,Digital-First Responders
PHY-00354,Oncology,124,1628,7,20,West,1,Low Engagement Profiles
PHY-00355,Oncology,114,1930,8,14,Midwest,1,Low Engagement Profiles
PHY-00356,GP,70,894,5,16,South,2,Digital-First Responders
PHY-00357,Oncology,130,1490,9,19,Midwest,1,Low Engagement Profiles
PHY-00358,Cardiology,148,3787,8,18,South,0,High-Touch Advocates
PHY-00359,GP,97,2490,6,9,Midwest,2,Digital-First Responders
PHY-00360,Cardiology,110,117,7,14,Northeast,1,Low Engagement Profiles
PHY-00361,Cardiology,85,719,7,19,West,1,Low Engagement Profiles
PHY-00362,GP,73,1202,5,16,Midwest,2,Digital-First Responders
PHY-00363,Cardiology,96,1414,4,11,South,2,Digital-First Responders
PHY-00364,Cardiology,104,1515,6,13,West,2,Digital-First Responders
PHY-00365,GP,100,1843,7,19,West,1,Low Engagement Profiles
PHY-00366,Cardiology,92,1234,4,10,South,2,Digital-First Responders
PHY-00367,GP,95,1352,6,21,Midwest,1,Low Engagement Profiles
PHY-00368,GP,99,2579,5,11,Northeast,2,Digital-First Responders
PHY-00369,Oncology,120,1652,7,16,Northeast,1,Low Engagement Profiles
PHY-00370,Oncology,92,466,8,11,Midwest,1,Low Engagement Profiles
PHY-00371,Oncology,111,1448,3,12,West,2,Digital-First Responders
PHY-00372,Oncology,133,1204,6,15,West,2,Digital-First Responders
PHY-00373,Oncology,95,181,10,18,West,1,Low Engagement Profiles
PHY-00374,GP,77,1505,5,17,West,2,Digital-First Responders
PHY-00375,Oncology,100,528,5,16,Midwest,2,Digital-First Responders
PHY-00376,Cardiology,133,2606,7,22,West,0,High-Touch Advocates
PHY-00377,GP,105,1824,6,13,South,2,Digital-First Responders
PHY-00378,Oncology,111,441,8,9,West,1,Low Engagement Profiles
PHY-00379,GP,75,2525,3,15,Northeast,2,Digital-First Responders
PHY-00380,Cardiology,133,3350,5,13,West,0,High-Touch Advocates
PHY-00381,Oncology,127,1091,9,16,Midwest,1,Low Engagement Profiles
PHY-00382,GP,109,1199,6,14,Northeast,2,Digital-First Responders
PHY-00383,GP,102,2358,11,14,Midwest,1,Low Engagement Profiles
PHY-00384,GP,125,3185,5,17,Midwest,0,High-Touch Advocates
PHY-00385,GP,73,247,7,13,Northeast,1,Low Engagement Profiles
PHY-00386,GP,85,494,5,20,Midwest,1,Low Engagement Profiles
PHY-00387,Cardiology,88,952,4,16,Midwest,2,Digital-First Responders
PHY-00388,Oncology,90,1039,1,14,West,2,Digital-First Responders
